"RowNumNumRep","Var","days.to.50","days.to.30"
"39.7.R9","Carnelian",57.3579943314438,51.9681977325775
"29.7.R1","Tocai Friulano",66.5557711554566,61.2070916481137
"12.7.R4","Gamay Noir",61.6778580100514,56.8986638150093
"13.5.R2","Pinot  Meunier",60.8966061297795,55.6531717524366
"22.1.R4","Rotgipfler",52.660593667302,48.6044469530137
"18.7.R5","Marsanne",61.6239521736305,56.3141854571447
"12.7.R2","Gamay Noir",53.5244005641749,48.7763046544429
"40.9.R3","Ruby Cabernet",64.2507343476682,59.4385623287897
"39.7.R8","Carnelian",59.9210507060803,54.9001975561572
"12.7.R6","Gamay Noir",NA,67.0119356032568
"13.5.R5","Pinot  Meunier",NA,50.0673778775969
"32.7.R1","Pinotage",58.4167620067671,53.6823105571919
"39.3.R3","Calzin",57.9056008746111,53.0409973929863
"39.3.R5","Calzin",62.1250536686778,57.3341016428265
"32.7.R2","Pinotage",NA,75.8591534405519
"40.9.R5","Ruby Cabernet",52.6988071570577,49.1421471172962
"40.9.R8","Ruby Cabernet",53.2015356075441,49.6530454498609
"39.3.R4","Calzin",NA,73.8951864629538
"23.7.R3","Szagos feher",NA,76.7962810014866
