"Date","RowNum","Num","Rep","RowNumNumRep","EL_stem1","EL_stem2","moist_1","moist_2","moist_3","notes","X","days","Var"
2016-08-22,18,1,"R1","18.1.R1",1,1,9.1,8.9,10,"",NA,7,"Cinsault"
2016-08-22,24,1,"R1","24.1.R1",1,1,9.4,9.6,10,"",NA,7,"Barbera"
2016-08-22,21,7,"R5","21.7.R5",1,NA,8.4,8.1,9.4,"",NA,7,"Chasselas doree"
2016-08-22,20,4,"R3","20.4.R3",1,2,10.2,11,11.2,"",NA,7,"Viognier"
2016-08-22,34,7,"R4","34.7.R4",1,1,12.2,11.6,8.9,"",NA,7,"Palomino"
2016-08-22,12,7,"R8","12.7.R8",2,1,8.3,9.2,9.1,"",NA,7,"Gamay Noir"
2016-08-22,24,1,"R4","24.1.R4",1,1,7.6,9.9,9.3,"",NA,7,"Barbera"
2016-08-22,28,7,"R4","28.7.R4",1,1,10,10.5,10.3,"",NA,7,"Refosco"
2016-08-22,12,10,"R2","12.10.R2",1,1,9.7,9.1,9.5,"",NA,7,"Melon"
2016-08-22,40,9,"R2","40.9.R2",1,1,11.1,10.1,9.8,"",NA,7,"Ruby Cabernet"
2016-08-22,22,9,"R6","22.9.R6",1,1,9.2,8.5,8,"",NA,7,"Durif2"
2016-08-22,15,3,"R3","15.3.R3",2,NA,8.7,9,10.3,"",NA,7,"Merlot"
2016-08-22,29,3,"R5","29.3.R5",1,1,12.2,13.2,11.8,"",NA,7,"Schiopettino"
2016-08-22,39,7,"R5","39.7.R5",1,NA,13,14.7,12.9,"",NA,7,"Carnelian"
2016-08-22,21,9,"R8","21.9.R8",1,2,12,9.7,8.8,"white fungal growth",NA,7,"Gruner Veltiner"
2016-08-22,22,1,"R1","22.1.R1",1,NA,12,12.1,13.4,"",NA,7,"Rotgipfler"
2016-08-22,32,3,"R6","32.3.R6",1,1,7.8,9.1,9.2,"",NA,7,"Zinfandel/Primitivo"
2016-08-22,20,4,"R2","20.4.R2",2,NA,10.4,11,9.8,"",NA,7,"Viognier"
2016-08-22,17,3,"R7","17.3.R7",1,NA,9.3,8.9,9.5,"",NA,7,"Alicante Bouchet"
2016-08-22,12,3,"R3","12.3.R3",2,NA,10.8,10.8,12.1,"",NA,7,"Auxerrois"
2016-08-22,24,9,"R1","24.9.R1",1,1,11.7,12.2,13,"dark fungal growth",NA,7,"Dolcetto"
2016-08-22,16,1,"R4","16.1.R4",1,NA,9.6,13.1,9.1,"",NA,7,"Sauvignon blanc"
2016-08-22,18,1,"R3","18.1.R3",1,1,9.5,11.1,8.8,"",NA,7,"Cinsault"
2016-08-22,19,7,"R4","19.7.R4",1,1,11.9,10.1,12.4,"",NA,7,"Roussanne"
2016-08-22,28,7,"R3","28.7.R3",1,1,10.1,11.7,9.9,"",NA,7,"Refosco"
2016-08-22,13,3,"R1","13.3.R1",1,1,10,10.4,11.2,"",NA,7,"Pinot gris"
2016-08-22,44,1,"R3","44.1.R3",1,1,11.1,10.4,8.4,"",NA,7,"Ruby Seedless"
2016-08-22,12,5,"R2","12.5.R2",2,1,7.8,10.2,9.1,"",NA,7,"Chardonnay"
2016-08-22,19,9,"R1","19.9.R1",1,1,8.1,11.6,12,"",NA,7,"Syrah"
2016-08-22,14,1,"R3","14.1.R3",1,NA,11.6,9.6,12.6,"",NA,7,"Cabernet Sauvignon"
2016-08-22,34,5,"R2","34.5.R2",1,NA,9.2,9,8.4,"",NA,7,"Morrastel"
2016-08-22,15,3,"R1","15.3.R1",1,2,8.2,8.6,9.7,"",NA,7,"Merlot"
2016-08-22,22,1,"R4","22.1.R4",1,2,11.4,13.7,12.3,"",NA,7,"Rotgipfler"
2016-08-22,22,9,"R5","22.9.R5",1,1,13.9,14.6,13,"",NA,7,"Durif2"
2016-08-22,17,3,"R5","17.3.R5",1,1,10.4,12,11.4,"",NA,7,"Alicante Bouchet"
2016-08-22,18,7,"R9","18.7.R9",1,NA,11.7,14.1,13.1,"",NA,7,"Marsanne"
2016-08-22,17,2,"R2","17.2.R2",1,1,15,11.3,10.9,"",NA,7,"Ugni blanc/Trebbiano"
2016-08-22,29,3,"R7","29.3.R7",1,1,10.1,10.8,11.8,"",NA,7,"Schiopettino"
2016-08-22,13,5,"R4","13.5.R4",2,NA,7.7,8.1,9.4,"",NA,7,"Pinot  Meunier"
2016-08-22,14,3,"R7","14.3.R1",1,1,9.5,8.8,9.4,"",NA,7,"Carmenere"
2016-08-22,24,9,"R2","24.9.R2",1,1,10.4,10.2,9.2,"",NA,7,"Dolcetto"
2016-08-22,12,10,"R1","12.10.R1",1,2,11.4,10.9,11.6,"",NA,7,"Melon"
2016-08-22,16,1,"R3","16.1.R3",1,1,11.9,10.8,10.1,"",NA,7,"Sauvignon blanc"
2016-08-22,18,5,"R4","18.5.R4",2,NA,10.9,10.5,10.9,"",NA,7,"Durif1"
2016-08-22,18,7,"R5","18.7.R5",1,NA,9.8,8,10,"",NA,7,"Marsanne"
2016-08-22,18,5,"R8","18.5.R8",2,NA,9.3,9.4,8.5,"",NA,7,"Durif1"
2016-08-22,14,3,"R2","14.3.R2",1,NA,11.2,11.9,12.8,"",NA,7,"Carmenere"
2016-08-23,32,5,"R3","32.5.R3",1,1,11.1,11.1,9.7,"",NA,8,"Rkatsiteli"
2016-08-23,12,3,"R1","12.3.R1",1,1,12.1,12.4,12.5,"",NA,8,"Auxerrois"
2016-08-23,12,1,"R3","12.1.R3",1,1,14.3,12.4,12.6,"",NA,8,"Aligote"
2016-08-23,25,9,"R2","25.9.R2",1,NA,9.7,8.4,9.1,"",NA,8,"Nebbiolo"
2016-08-23,18,3,"R4","18.3.R4",1,NA,9,10.7,10.7,"",NA,8,"Counoise"
2016-08-23,29,7,"R3","29.7.R3",1,1,10.8,12.2,9.2,"dark fungal growth",NA,8,"Tocai Friulano"
2016-08-23,13,5,"R6","13.5.R6",2,2,11,12.5,13.4,"",NA,8,"Pinot  Meunier"
2016-08-23,12,5,"R3","12.5.R3",1,NA,9,11.8,10.1,"",NA,8,"Chardonnay"
2016-08-23,22,9,"R2","22.9.R2",1,1,7.9,8.7,7.9,"",NA,8,"Durif2"
2016-08-23,17,2,"R5","17.2.R5",1,NA,10.8,11.6,10.1,"",NA,8,"Ugni blanc/Trebbiano"
2016-08-23,20,5,"R5","20.5.R5",1,NA,11.1,11.1,9.6,"",NA,8,"Gewurtztraminer"
2016-08-23,26,6,"R2","26.6.R2",1,1,7.8,8.2,8.3,"",NA,8,"Sangiovese"
2016-08-23,14,3,"R4","14.3.R4",1,NA,12.2,13.3,11,"",NA,8,"Carmenere"
2016-08-23,21,7,"R7","21.7.R7",2,NA,10.2,11,11.2,"",NA,8,"Chasselas doree"
2016-08-23,20,5,"R3","20.5.R3",1,1,9.2,10.2,9.4,"dark fungal growth",NA,8,"Gewurtztraminer"
2016-08-23,22,7,"R4","22.7.R4",1,NA,9.3,9.6,13,"",NA,8,"Furmint"
2016-08-23,38,7,"R3","38.7.R3",1,1,9.6,9.9,10.6,"",NA,8,"Verdelho"
2016-08-23,19,9,"R2","19.9.R2",1,1,9.5,9.1,11.8,"",NA,8,"Syrah"
2016-08-23,17,3,"R3","17.3.R3",1,NA,8.7,8.5,8.8,"",NA,8,"Alicante Bouchet"
2016-08-23,22,1,"R2","22.1.R2",1,NA,11.3,10.5,9.9,"",NA,8,"Rotgipfler"
2016-08-23,16,1,"R5","16.1.R5",1,NA,8.4,10.3,10,"",NA,8,"Sauvignon blanc"
2016-08-23,44,1,"R5","44.1.R5",1,1,10.8,12.4,12.4,"",NA,8,"Ruby Seedless"
2016-08-23,32,5,"R5","32.5.R5",1,NA,10.9,11.3,11.9,"",NA,8,"Rkatsiteli"
2016-08-23,35,3,"R5","35.3.R5",9,7,11.1,11,10.9,"Plant came out of the growth chamber with new leaves already separated",NA,8,"Tempranillo"
2016-08-23,34,7,"R2","34.7.R2",1,NA,13.2,13.1,12.8,"",NA,8,"Palomino"
2016-08-23,40,9,"R1","40.9.R1",1,1,9.3,9.6,9.4,"",NA,8,"Ruby Cabernet"
