"variety","n.bb","nplants.bb","sd.bb","doy.bb","se.bb","n.lo","nplants.lo","sd.lo","doy.lo","se.lo"
"Pedro Ximenez",14,2,0.457440252834757,68.8098281880505,0.323459104767146,14,2,0.710982287606039,74.2400082219147,0.502740396869754
"Periquita",14,2,0.0145568646042051,68.593980246599,0.0102932576744479,14,2,0.0791592109119325,73.6534276945725,0.0559740148292036
"Perlette",7,1,NA,68.4033912211131,NA,7,1,NA,73.4079721044715,NA
"Petit Manseng",14,2,1.96079921838512,64.7749836324985,1.3864944238654,14,2,1.47955917285651,70.4886523674591,1.0462063242936
"Petit Verdot",14,2,0.0274841706028272,68.9194788000698,0.019434243408547,14,2,0.0190596324950241,74.1391293692973,0.013477195384155
"Picolit",15,2,0.698139308413965,68.996058399363,0.493659039192401,15,2,0.253027556073815,75.1700561063113,0.178917500726854
"Pinot blanc",8,1,NA,65.5311135371179,NA,8,1,NA,72.4284934497817,NA
"Pinot gris",14,2,3.60200823870554,62.3026876890503,2.5470044514785,14,2,2.9681746411195,68.5140050250251,2.09881641648155
"Pinot Meunier",14,2,10.2305744220387,71.1395245005605,7.2341085492572,14,2,6.35294816005494,74.6195734237367,4.49221272450145
"Pinot noir",8,1,NA,64.3260010843467,NA,8,1,NA,71.6097901014639,NA
"Pinotage",13,2,1.27763590266031,66.602691514326,0.903425010658502,13,2,2.05340180606504,72.27838020954,1.4519743415693
"Queen",14,2,0.778325779924111,70.1534918246635,0.550359436956647,14,2,0.617857135614345,75.2235339964021,0.4368909703974
"Refosco",14,2,0.141971489420515,68.9971482621637,0.1003890029044,14,2,0.198135674478607,74.3833901160558,0.140103079018793
"Reisling",8,1,NA,70.255079642033,NA,8,1,NA,76.7010187426127,NA
"Reisling Italico",7,1,NA,68.6432481751825,NA,7,1,NA,73.9438868613139,NA
"Ribolla gialla",14,2,0.164180374563927,69.8486422270365,0.1160930561919,14,2,0.0980028191136297,75.7257774398449,0.0692984579706461
"Rkatsiteli",14,2,0.00743807178036304,68.9744388648753,0.005259510994847,14,2,0.0834922300833144,74.8449643981173,0.0590379220682991
"Rotgipfler",16,2,0.456582265704399,72.1568727848233,0.322852416249098,16,2,1.20642407507438,79.46546152711,0.853070644471799
"Roussanne",16,2,1.15689996381994,72.2423508749922,0.81805180957155,16,2,1.16456402025786,79.6664617700558,0.823471115850204
"Rubired",14,2,0.526392445302334,70.0488556973729,0.372215667638649,14,2,0.478414541033799,75.8521351764045,0.338290166183249
"Ruby Cabernet",7,1,NA,71.8151481888035,NA,7,1,NA,78.0746432491767,NA
"Ruby Seedless",14,2,0.7808158190648,71.1191998606868,0.552120160518449,14,2,1.03198723848998,76.6614216712983,0.729725174434243
"Sagrantino",16,2,0.986841148664237,75.3896183139912,0.697802068174404,16,2,0.978688564100446,82.5151282847503,0.69203732034515
"Sangiovese",22,3,0.262585491155895,68.2420001465692,0.151603804004146,22,3,0.439084683495529,74.0921598149364,0.253505660213185
"Sauvignon blanc",16,2,4.0658414269293,73.6335291124858,2.8749840442109,16,2,4.60155781024138,81.092742823305,3.2537927316436
"Sauvignon gris",14,2,1.32760598812931,68.4052388189229,0.938759196950102,14,2,1.55068040943009,73.7839597162452,1.09649663296115
"Sauvignon vert",14,2,1.48303113513473,67.1886585123617,1.04866137236455,14,2,1.51186927640291,72.2946357431948,1.0690530176121
"Scarlett",14,2,0.691620101298785,69.9673822716364,0.489049263633298,14,2,1.31285271130831,76.4368181733505,0.92832705486525
"Schiopettino",14,2,0.487999064181816,69.5716437586329,0.345067447495651,14,2,0.89471535030965,75.0234960622076,0.632659291435651
"Siegerrebe",14,2,2.08841506616468,66.792405336886,1.4767324552172,14,2,1.78347834147102,72.4167308218955,1.2611096293535
"Souzao",16,2,3.22679475304523,78.0193225280788,2.28168845137545,16,2,3.33164463420814,85.2780447337397,2.35582851335235
"Suavis",14,2,0.466044244848587,67.7715696778888,0.3295430458654,14,2,0.384792149945195,73.191868287648,0.272089138573598
"Sylvaner",8,1,NA,71.5986542647932,NA,8,1,NA,78.6073619631902,NA
"Symphony",15,2,0.905076659132563,69.4609327585178,0.639985843166301,15,2,2.21126090400623,75.3384182401668,1.5635975801955
"Syrah",15,2,0.0877470635347738,69.8012252339987,0.0620465436546453,15,2,0.335181796669511,75.9365989501559,0.237009321355302
"Szagos feher",14,2,0.341661736413842,69.1058689373061,0.241591330690198,14,2,0.285358895864505,74.5263292346607,0.201779210337698
"Tannat",14,2,2.17796365149539,67.1871636641108,1.5400528671502,14,2,2.11791526374651,72.9193982177603,1.49759224497365
"Tempranillo",22,3,1.68636145667475,70.943497508152,0.973621240962175,22,3,2.40205462561868,76.9856798905863,1.38682688470913
"Teroldego",6,1,NA,68.8090677657898,NA,6,1,NA,73.9522366347436,NA
"Thompson Seedless",14,2,0.606100898339049,69.3123272944954,0.4285780552988,14,2,0.780569665706944,74.6971073941325,0.551946103809897
"Tinta Amarella",13,2,0.0883377730361718,69.6219932396571,0.0624642383487952,13,2,0.0144669164233406,74.7311193189012,0.0102296547058032
"Tinta Barroca",7,1,NA,68.9772697062342,NA,7,1,NA,73.8517213877443,NA
"Tinta Cao",14,2,0.633580054462739,67.2299150534199,0.448008752935145,14,2,0.475845433805884,72.8760535007306,0.336473533040795
"Tinta Carvalha",15,2,4.03948291687284,72.4957076944588,2.856345763008,15,2,4.48198735245935,79.1313044390795,3.16924365011635
"Tinta Francisca",15,2,1.84388507355515,73.1773151507961,1.3038236392395,15,2,2.36483481668074,79.4889221731829,1.672190735261
"Tinta Madeira",14,2,0.573003099139221,67.6874925871107,0.40517437704225,14,2,0.49561664357408,72.9403389112929,0.350453889540148
"Tocai Friulano",14,2,1.10343155446519,71.1862250900018,0.780243934737548,14,2,1.04787490367261,77.3448103310087,0.7409594502221
"Touriga Nacional",14,2,1.01453299317405,69.2559827269284,0.717383159210854,14,2,0.845641379811762,74.6090105056767,0.597958754116846
"Trebbiano toscano",16,2,0.381470224751655,78.9136978740894,0.269740182742652,16,2,0.457828725837931,85.8914026564938,0.323733796661998
"Trousseau gris",13,2,5.33704676579376,64.1216808350379,3.7738619596025,13,2,4.62443941071521,69.5710174159143,3.26997246650305
"Ungni blanc/Trebbiano",8,1,NA,71.5299367299367,NA,8,1,NA,78.58667998668,NA
"Verdejo",14,2,0.957453495833234,68.3297468278888,0.677021859574445,14,2,0.830563420766155,73.6140714250014,0.587297027029244
"Verdelho",14,2,0.475406713755392,69.0253461904954,0.33616331111805,14,2,0.742494586429996,74.5812875484987,0.525022957058951
"Verdello",14,2,0.204401019754842,69.6140389407986,0.144533347150094,14,2,0.417013349221666,75.49859003673,0.294872967079954
"Vespolina",14,2,0.00706112549256257,67.4575523701332,0.00499296971860019,14,2,0.00363919544609884,72.8435077599917,0.00257329977799969
"Viognier",15,2,0.0780064321954263,68.4541449938934,0.0551588771815545,15,2,0.543398693128963,74.4058391729376,0.384240900799398
"Zinfandel/Primitivo",14,2,0.851905123152647,69.7289763548069,0.602387889508798,14,2,1.52365277487838,75.6629179561133,1.0773852092902
