"variety","n.bb","nplants.bb","sd.bb","doy.bb","se.bb","n.lo","nplants.lo","sd.lo","doy.lo","se.lo"
"Aglicanico",14,2,0.074919902139182,73.2881658202938,0.0529763708484481,14,2,0.300617330293241,79.3457065054826,0.212568552792547
"Albillo Real",12,2,0.488356767394718,68.2362372505357,0.345320381863147,12,2,0.258684222573577,73.5664907317207,0.182917367967747
"Aleatico",14,2,0.764677820585417,69.1261072711389,0.540708872358898,14,2,0.65742009319143,74.9853580092627,0.464866205983952
"Alicante Bouschet",13,2,8.32602883681199,63.4397724032455,5.8873914508645,13,2,7.15867302092796,69.2428986183478,5.06194623739535
"Aligote",14,2,1.0595246549421,65.1594787307429,0.749197068343896,14,2,0.45264047867654,71.3584736608737,0.320065151911706
"Arneis",14,2,0.332471843232369,68.9776856874958,0.235093094903199,14,2,0.0758301103767843,74.5306392739938,0.0536199852655486
"Auxerrois",15,2,1.1364189574662,66.2397156875304,0.803569551093297,15,2,1.78603878728398,72.1432951783645,1.2629201379507
"Barbera",14,2,1.31178961485386,69.3740869600603,0.927575332153253,14,2,1.55744609834312,74.8633737207267,1.10128069747095
"Beauty Seedless",13,2,4.22382662605636,64.3517186227897,2.98669644984075,13,2,3.10767316664324,70.2538592088693,2.19745676984491
"Biancello",14,2,0.39898378503051,68.1800833236521,0.282124139978549,14,2,0.219828206505188,73.704061463295,0.155442015515895
"Biancetta trevigniana",14,2,0.135625980501171,68.794806251082,0.0959020505174521,14,2,0.00636081444891874,74.1985571809713,0.00449777503069981
"Blush Seedless",15,2,0.780346028773595,72.0395206251322,0.551787968617802,15,2,1.81104684112484,79.0538691538441,1.28060350240585
"Burger",14,2,0.587625325940173,67.8777059887336,0.415513852769251,14,2,0.611685901501821,73.0409097924773,0.432527248908144
"Cabernet franc",13,2,1.04469544221054,67.4657464948488,0.73871123146175,13,2,1.51469975625971,72.6918642209632,1.07105446911285
"Cabernet Sauvignon",7,1,NA,70.7871287128713,NA,7,1,NA,76.424035506999,NA
"Calzin",16,2,0.48425540679281,74.9663087088136,0.342420281969446,16,2,1.00341574346925,82.0544776136302,0.709522076556446
"Canner",15,2,0.695015417068304,70.4041232918172,0.491450114438194,15,2,0.00616062623368726,76.3951441200906,0.004356220586196
"Carignane",14,2,3.06896069724438,65.6060454348592,2.1700829202165,14,2,2.49942965227572,71.2003976273279,1.7673636562229
"Carmenere",14,2,0.440740925142577,68.8657118106204,0.311650896914749,14,2,0.8735503869378,73.9892670063728,0.61769340231185
"Carmine",14,2,1.02258331336104,70.1269438449186,0.723075595205799,14,2,1.1018562061213,76.0764298803423,0.779129995240851
"Carnelian",15,2,2.25150028696965,70.8147885927118,1.5920511207597,15,2,3.92747315676717,77.2585191174858,2.7771429020782
"Castelao",15,2,0.228418042718058,68.2077200005411,0.161515946951297,15,2,1.35248112264843,74.482628202245,0.956348573251496
"Centennial Seedless",14,2,2.98455190287136,69.7098474387741,2.11039688932355,14,2,4.04907490123624,75.9466448037129,2.86312832019639
"Centurion",14,2,0.388351126294961,69.349218999689,0.274605714884601,14,2,0.305682898737082,74.9888529073687,0.216150450589751
"Chardonnay",16,2,1.68986435700722,63.1117606171694,1.19491454612525,16,2,2.1012224873529,70.3512353864888,1.4857886695889
"Chasselas doree",14,2,1.29248827664742,66.5407361975251,0.913927225021503,14,2,1.10050694061064,72.1480203488133,0.778175920448646
"Chenin blanc",13,2,0.386735331004423,61.3178160192656,0.273463175077651,13,2,0.841086659474345,67.1800637193917,0.59473808047985
"Christmas Rose",14,2,1.94809527993643,71.9747613444322,1.37751138284055,14,2,2.43611654089137,77.6079839865717,1.722594525825
"Ciliegiolo",15,2,2.33791577570173,72.4739398099443,1.6531560988417,15,2,4.28421285546736,79.804943407403,3.02939596214755
"Cinsault",15,2,0.73724304714272,70.478237543432,0.521309558017251,15,2,0.795175319094014,76.8836047628249,0.562273860363554
"Coda di Volpe",14,2,0.827126489531925,70.570158196896,0.584866749647048,14,2,0.743371930999662,76.327350251821,0.525643333353599
"Cornifesto",8,1,NA,73.0915761667156,NA,8,1,NA,80.2358379806281,NA
"Cot",14,2,1.3040776879289,66.5814646242453,0.9221221763286,14,2,1.09584900331846,71.8936973655697,0.774882261403
"Counoise",16,2,0.729146367904338,70.8730972945906,0.515584341222699,16,2,0.85704065781229,78.0798398226588,0.606019260891649
"Dawn Seedless",16,2,0.776064450770877,70.2291321262056,0.548760435777901,16,2,0.802616214593659,77.1834976898217,0.567535368029453
"Delight",14,2,1.12106886649899,66.6770271885024,0.792715397678549,14,2,0.94171820610694,72.062540618109,0.665895329505048
"Dolcetto",16,2,2.15245011699219,71.9317115274428,1.52201207389096,16,2,2.19029499040069,79.168307959637,1.54877244051125
"Durif",23,3,3.93688317619806,71.5488096812331,2.27296056154606,23,3,4.60276922597795,77.7724444631508,2.6574100516361
"Early Muscat",13,2,3.40352112067623,59.474270586448,2.4066528643418,13,2,3.46141949394073,65.1717871192206,2.4475931966968
"Emerald Reisling",14,2,0.0246163998875746,69.6704361765545,0.0174064232889037,14,2,0.184105012154738,75.5755737748238,0.130181902545047
"Emerald Seedless",15,2,1.15190360062487,74.3428864073169,0.814518847275046,15,2,2.57076525804754,80.7311365596827,1.8178055468042
"Erbaluce",14,2,0.16992883571548,70.2254847085669,0.12015783205355,14,2,0.142775997414267,76.0674320797246,0.100957875962301
"Fiano",15,2,0.873243836919592,69.361822163258,0.617476638715203,15,2,0.348295859992355,75.4309551267312,0.246282364459795
"Flora",13,2,0.646214028544652,69.248727781411,0.456942321681801,13,2,0.29622212506783,74.7593537596167,0.209460673372952
"Folle blance",13,2,10.3435431709028,70.8456665362747,7.31398951764115,13,2,6.78227027315693,74.1858514137905,4.7957893019892
"Forastera",8,1,NA,74.4816433566433,NA,8,1,NA,81.625,NA
"Furmint",15,2,1.37638099375721,69.9249972798531,0.973248334182003,15,2,0.541604642498204,75.9468522459709,0.382972315432596
"Gamay Noir",16,2,5.04020397773262,71.7532033416288,3.56396241121815,16,2,2.99897560850685,76.2446507419487,2.12059598938825
"Gewurztraminer",15,2,1.22096904222727,67.7813058194627,0.863355489377746,15,2,1.93016920990414,73.681088487868,1.3648357371607
"Glennel",7,1,NA,70.2327456864216,NA,7,1,NA,76.1354088522131,NA
"Gold",15,2,2.72317961640415,70.0837670212441,1.92557877314835,15,2,1.85795380627138,76.6014485581792,1.31377173554585
"Gouveio",14,2,0.101859159593674,69.1295088676787,0.0720253024746498,14,2,0.364732396890646,74.619623142843,0.257904751159799
"Graciano",16,2,0.858414469793024,74.057481799641,0.606990692659302,16,2,0.62137128615202,80.7336418442325,0.4393758500727
"Greco di tufo",7,1,NA,69.3398867044319,NA,7,1,NA,74.826557814062,NA
"Grignolino",15,2,0.158905827657887,68.5425114367592,0.112363388306953,15,2,1.07859355567924,74.7572384289339,0.762680817364903
"Gruner Veltiner",15,2,0.399561226385428,70.1225075460762,0.282532452676349,15,2,1.44367024055032,76.2014018686961,1.02082901689035
"Helena",14,2,0.945888205952161,70.6780912367279,0.668843964673151,14,2,0.724770645928151,76.3849703569059,0.512490238540749
"Juan Garcia",15,2,2.80401397975918,73.7567836584542,1.9827372996296,15,2,3.76056950129026,80.1429716128976,2.65912419548565
"July Muscat",14,2,1.40079608348231,67.7073389779556,0.990512409689899,14,2,1.43532361049525,72.9544104530123,1.01492705817835
"Macabeo",16,2,0.783074085591635,71.1726159745269,0.5537169960933,16,2,0.634326806193597,78.4048364456258,0.448536786147898
"Malvasia bianca",7,1,NA,70.1231150983012,NA,7,1,NA,76.0369345294904,NA
"Mammolo",14,2,1.09700037755295,68.0536333686826,0.775696405931896,14,2,0.717614740009872,73.5231895612613,0.507430248940402
"Marsanne",15,2,0.939912154409117,68.3500059010086,0.664618258102344,15,2,0.0284593740629682,74.2250814063269,0.0201238163882493
"Melon",14,2,1.82185726263228,66.5663369290187,1.28824762476125,14,2,1.15410512251034,72.2521087878204,0.816075558329196
"Merlot",14,2,0.129555567986886,68.5744290039239,0.091609620664002,14,2,0.249735299826672,73.869100537225,0.176589524009096
"Montepulciano",8,1,NA,76.5493565662217,NA,8,1,NA,83.7149708256734,NA
"Morrastel",15,2,1.43125101225971,73.9028364485601,1.01204729634895,15,2,1.66040642150787,80.6922864481387,1.1740846401739
"Mourvedre",23,3,4.27974905875205,73.3497455163884,2.47091427113454,23,3,5.59078682608785,80.1771356127821,3.22784227902363
"Muscadelle du Bordelais",15,2,7.45339679735837,63.1409540719066,5.2703474182862,15,2,6.11671623940429,69.8001617467409,4.32517153147665
"Muscat Ottonel",14,2,0.334750693118021,69.1170795994747,0.23670448511065,14,2,0.151365530801229,74.2964186015017,0.10703159326745
"Muscato bianco",14,2,2.64720815915802,67.2331956688623,1.871858840553,14,2,1.6066818308659,73.4910104277752,1.1360956178145
"Nebbiolo",14,2,0.0590467614402452,69.0330068457083,0.0417523654215017,14,2,0.186159502242945,74.2377278363825,0.131634646418298
"Negramaro",7,1,NA,71.9825708061002,NA,7,1,NA,77.6688453159042,NA
"Negrette",14,2,0.646519235877398,69.6330945717247,0.457158135856453,14,2,1.14505607256097,75.0883375266865,0.809676913746699
"Negro Amaro",16,2,3.12062524706237,73.989126484502,2.20661527373975,16,2,2.81478087762449,80.7205010022291,1.9903506461225
"Niabell",16,2,1.25028193386617,72.9097545232203,0.884082833831798,16,2,1.12577686215413,80.4167890917759,0.796044453332101
"Palomino",15,2,1.51846026638413,70.6900519904181,1.07371355132255,15,2,2.18723958500721,76.9791429419088,1.54661194263825
"Parellada",16,2,1.05989260864248,69.4445218702453,0.749457250900598,16,2,0.667141240458353,76.4684152823815,0.471740095137306
