"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn"
"39.7.R9","Carnelian",1,1,1,1
"29.7.R1","Tocai Friulano",1,1,1,1
"12.7.R4","Gamay Noir",1,1,1,1
"13.5.R2","Pinot  Meunier",1,1,1,1
"40.9.R2","Ruby Cabernet",0,1,1,1
"22.1.R4","Rotgipfler",1,1,1,1
"18.7.R5","Marsanne",1,1,1,1
"12.7.R2","Gamay Noir",1,1,1,1
"40.9.R3","Ruby Cabernet",1,1,1,1
"12.7.R1","Gamay Noir",0,1,1,1
"18.7.R1","Marsanne",0,1,1,1
"39.7.R8","Carnelian",1,1,1,1
"12.7.R6","Gamay Noir",0,1,1,1
"13.5.R5","Pinot  Meunier",0,1,1,1
"32.7.R1","Pinotage",1,1,1,1
"39.3.R3","Calzin",1,1,1,1
"32.7.R3","Pinotage",0,1,1,1
"39.3.R5","Calzin",1,1,1,1
"32.7.R2","Pinotage",0,1,1,1
"40.9.R5","Ruby Cabernet",1,1,1,1
"40.9.R8","Ruby Cabernet",1,1,1,1
"39.3.R4","Calzin",0,1,1,1
"23.7.R3","Szagos feher",0,1,1,1
