"RowNumNumRep","Var","stage","days","m","intercept","n","Treat","temp"
"13.3.R5","Pinot gris","5% flowering",46.3,0.0600000000000003,46,2,"Chamber 4",34
"18.5.R1","Durif1","5% flowering",38.6532762132172,0.198398763958143,37.6612823934265,7,"Chamber 3",30
"19.9.R3","Syrah","5% flowering",43.1316168527188,0.0834983795462729,42.7141249549874,5,"Chamber 4",34
"20.2.R4","Valdepenas","5% flowering",36.0705983514203,0.156792978710787,35.2866334578663,8,"Chamber 5",37
"38.7.R3","Verdelho","5% flowering",36.5123467787913,0.15486031927024,35.7380451824401,8,"Chamber 4",34
"38.7.R4","Verdelho","5% flowering",33.2834139726956,0.130913125211871,32.6288483466362,8,"Chamber 3",30
"38.7.R5","Verdelho","5% flowering",37.7197424892704,0.0981115879828328,37.2291845493562,7,"Chamber 2",26
"14.1.R3","Cabernet Sauvignon","5% flowering",43.4958847736626,0.106310013717421,42.9643347050754,4,"Chamber 1",20
"18.5.R4","Durif1","5% flowering",44.8076923076923,0.0538461538461537,44.5384615384615,3,"Chamber 3",30
"18.5.R5","Durif1","5% flowering",42.7319194487188,0.0782765772395799,42.3405365625209,5,"Chamber 3",30
"13.3.R4","Pinot gris","5% flowering",38.3650680028633,0.12469577666428,37.7415891195419,6,"Chamber 2",26
"16.1.R7","Sauvignon blanc","5% flowering",42.0523598820059,0.170845624385447,41.1981317600787,5,"Chamber 2",26
"20.2.R1","Valdepenas","5% flowering",41.0373698936766,0.0841857862339115,40.616440962507,6,"Chamber 5",37
"20.2.R5","Valdepenas","5% flowering",37.7714617169374,0.0867749419953594,37.3375870069606,6,"Chamber 4",34
"35.3.R6","Tempranillo","5% flowering",40.1590909090909,0.0738636363636363,39.7897727272727,5,"Chamber 3",30
"22.9.R7","Durif2","5% flowering",43.8724104815475,0.0633374491242512,43.5557232359263,4,"Chamber 5",37
"20.2.R6","Valdepenas","5% flowering",41.8066037735849,0.0688679245283019,41.4622641509434,4,"Chamber 4",34
