"RowNumNumRep","Var","stage","days.to.30","m","intercept","n","Var","Var","stage","days.to.50","m","intercept","n"
"39.7.R9","Carnelian","30% flowering",51.9681977325775,2.69489829943315,-4.62466655551855,24,"Carnelian","Carnelian","50% flowering",57.3579943314438,2.69489829943315,-4.62466655551855,24
"29.7.R1","Tocai Friulano","30% flowering",61.2070916481137,2.67433975367144,5.04595682101351,24,"Tocai Friulano","Tocai Friulano","50% flowering",66.5557711554566,2.67433975367144,5.04595682101351,24
"12.7.R4","Gamay Noir","30% flowering",56.8986638150093,2.38959709752104,6.71712476706759,25,"Gamay Noir","Gamay Noir","50% flowering",61.6778580100514,2.38959709752104,6.71712476706759,25
"13.5.R2","Pinot  Meunier","30% flowering",55.6531717524366,2.62171718867143,0.597110790336501,25,"Pinot  Meunier","Pinot  Meunier","50% flowering",60.8966061297795,2.62171718867143,0.597110790336501,25
"22.1.R4","Rotgipfler","30% flowering",48.6044469530137,2.02807335714418,6.01490645298591,19,"Rotgipfler","Rotgipfler","50% flowering",52.660593667302,2.02807335714418,6.01490645298591,19
"18.7.R5","Marsanne","30% flowering",56.3141854571447,2.6548833582429,0.56163493404378,24,"Marsanne","Marsanne","50% flowering",61.6239521736305,2.6548833582429,0.56163493404378,24
"12.7.R2","Gamay Noir","30% flowering",48.7763046544429,2.37404795486601,-1.07870239774326,23,"Gamay Noir","Gamay Noir","50% flowering",53.5244005641749,2.37404795486601,-1.07870239774326,23
"40.9.R3","Ruby Cabernet","30% flowering",59.4385623287897,2.40608600943926,8.91075613056535,20,"Ruby Cabernet","Ruby Cabernet","50% flowering",64.2507343476682,2.40608600943926,8.91075613056535,20
"39.7.R8","Carnelian","30% flowering",54.9001975561572,2.51042657496159,2.18123948196382,24,"Carnelian","Carnelian","50% flowering",59.9210507060803,2.51042657496159,2.18123948196382,24
"12.7.R6","Gamay Noir","30% flowering",67.0119356032568,3.18079200592154,0.215303478904507,18,"Gamay Noir",NA,NA,NA,NA,NA,NA
"13.5.R5","Pinot  Meunier","30% flowering",50.0673778775969,2.18556990454801,4.17040988208872,15,"Pinot  Meunier",NA,NA,NA,NA,NA,NA
"32.7.R1","Pinotage","30% flowering",53.6823105571919,2.36722572478762,3.97057033665197,22,"Pinotage","Pinotage","50% flowering",58.4167620067671,2.36722572478762,3.97057033665197,22
"39.3.R3","Calzin","30% flowering",53.0409973929863,2.43230174081238,1.96266083592635,23,"Calzin","Calzin","50% flowering",57.9056008746111,2.43230174081238,1.96266083592635,23
"39.3.R5","Calzin","30% flowering",57.3341016428265,2.39547601292568,7.02910537138727,22,"Calzin","Calzin","50% flowering",62.1250536686778,2.39547601292568,7.02910537138727,22
"32.7.R2","Pinotage","30% flowering",75.8591534405519,3.98305823895548,-7.78506957751325,24,"Pinotage",NA,NA,NA,NA,NA,NA
"40.9.R5","Ruby Cabernet","30% flowering",49.1421471172962,1.77833001988072,11.7972166998012,13,"Ruby Cabernet","Ruby Cabernet","50% flowering",52.6988071570577,1.77833001988072,11.7972166998012,13
"40.9.R8","Ruby Cabernet","30% flowering",49.6530454498609,1.7742450788416,12.3938987941873,17,"Ruby Cabernet","Ruby Cabernet","50% flowering",53.2015356075441,1.7742450788416,12.3938987941873,17
"39.3.R4","Calzin","30% flowering",73.8951864629538,3.61409561360276,-2.00082142270415,21,"Calzin",NA,NA,NA,NA,NA,NA
"23.7.R3","Szagos feher","30% flowering",76.7962810014866,4.14590461807112,-10.2677159780069,25,"Szagos feher",NA,NA,NA,NA,NA,NA
