"Date","RowNum","Num","Rep","RowNumNumRep","bud1.spur1","bud2.spur1","bud1.spur2","bud2.spur2","diam.spur1","diam.spur2","dist.spur2","dist.spur1","notes","days","Var"
NA,18,1,"R5","18.1.R5",3.38,3.96,3.06,3.2,4.91,4.28,23.12,7.92,"",NA,"Cinsault"
NA,18,1,"R2","18.1.R2",3.52,4.19,3.41,3.89,3.93,5.48,8.5,18.38,"",NA,"Cinsault"
NA,39,7,"R9","39.7.R9",4.84,3.7,NA,NA,8.25,NA,NA,23.15,"only 1 spur",NA,"Carnelian"
NA,34,5,"R3","34.5.R3",5.18,4.5,5.25,3.96,5.31,5.91,18.16,11.26,"",NA,"Morrastel"
NA,29,7,"R1","29.7.R1",5.38,3,NA,NA,6.56,NA,NA,13.18,"only 1 spur",NA,"Tocai Friulano"
NA,14,3,"R9","14.3.R9",5.85,4.7,4.22,4.96,5.56,5.53,9.91,17.02,"",NA,"Carmenere"
NA,18,3,"R8","18.3.R8",4.22,3.92,4.68,1.48,4.48,3.66,5.77,9.6,"green growth",NA,"Counoise"
NA,18,1,"R4","18.1.R4",4.56,3.24,4.52,3.19,5.85,5.52,7.87,16.28,"",NA,"Cinsault"
NA,20,4,"R7","20.4.R7",5.27,2.07,5.82,5.05,3.92,5.96,14.9,12.96,"green growth",NA,"Viognier"
NA,24,9,"R6","24.9.R6",3.3,5.56,5.82,5.51,5.07,6.23,7.49,15.15,"",NA,"Dolcetto"
NA,24,9,"R5","24.9.R5",2.78,3.3,3.1,3.65,5.53,5.09,4.38,10.88,"",NA,"Dolcetto"
NA,23,7,"R4","23.7.R4",5.55,3.81,4.35,4.24,5.43,8.05,11.38,10.46,"",NA,"Szagos feher"
NA,39,7,"R1","39.7.R1",3.71,5.06,NA,NA,6.37,NA,NA,6.79,"only 1 spur",NA,"Carnelian"
NA,22,7,"R3","22.7.R3",4.02,5.07,NA,NA,6.64,NA,NA,6.04,"only 1 spur",NA,"Furmint"
NA,12,1,"R7","12.1.R7",4.04,3.11,3.18,3.37,6.06,4.55,6.16,7.98,"",NA,"Aligote"
NA,12,1,"R5","12.1.R5",3.56,2.13,3.35,4.66,2.3,4.48,4.12,8.16,"",NA,"Aligote"
NA,22,1,"R6","22.1.R6",4.48,3.71,NA,NA,5.71,NA,NA,8.21,"only 1 spur",NA,"Rotgipfler"
NA,34,1,"R2","34.1.R2",3.83,3.77,4.02,4.05,5.74,7.19,9.35,6.39,"",NA,"Macabeo"
NA,39,7,"R2","39.7.R2",4.12,3.41,4.64,3.68,6.48,5.61,14.63,19.41,"",NA,"Carnelian"
NA,22,1,"R5","22.1.R5",4.36,3.42,4.07,3.43,4.95,4.74,12.32,3.3,"",NA,"Rotgipfler"
NA,19,9,"R6","19.9.R6",3.85,3.7,2.62,3.8,6.24,6.1,9.92,8.29,"",NA,"Syrah"
NA,25,9,"R4","25.9.R4",3.5,2.91,4.39,2.74,5.43,5.54,17.06,16.19,"",NA,"Nebbiolo"
NA,12,7,"R4","12.7.R4",3.1,3.02,2.96,4.54,3.43,4.56,7.63,11.56,"",NA,"Gamay Noir"
NA,22,7,"R5","22.7.R5",2.87,6.52,NA,NA,5.92,NA,NA,20.51,"green growth, only 1 spur",NA,"Furmint"
NA,29,3,"R4","29.3.R4",3.64,3.8,NA,NA,8.3,NA,NA,5.98,"only 1 spur",NA,"Schiopettino"
NA,14,1,"R4","14.1.R4",5.42,4.17,NA,NA,5.69,NA,NA,19.97,"only 1 spur",NA,"Cabernet Sauvignon"
NA,18,7,"R4","18.7.R4",4.4,4.62,NA,NA,5.32,NA,NA,15.03,"only 1 spur",NA,"Marsanne"
NA,20,2,"R3","20.2.R3",5.52,3.24,3.69,2.76,5.61,4.38,7.61,13.07,"",NA,"Valdepenas"
NA,29,3,"R3","29.3.R3",3.72,3.37,4.06,4.05,4.35,7.04,7.79,5.64,"",NA,"Schiopettino"
NA,23,7,"R6","23.7.R6",3.36,4.18,5.23,4.65,6.19,6.27,8.55,7.89,"",NA,"Szagos feher"
NA,34,1,"R4","34.1.R4",3.25,4.18,2.67,3.34,4.77,5.59,5.24,18.09,"",NA,"Macabeo"
NA,44,1,"R4","44.1.R4",4.32,5.2,NA,NA,8.39,NA,NA,13.18,"only 1 spur",NA,"Ruby Seedless"
NA,13,3,"R5","13.3.R5",4.19,3.99,NA,NA,5.05,NA,NA,8,"only 1 spur",NA,"Pinot gris"
NA,40,9,"R6","40.9.R6",3.86,3.11,3.18,3.6,6,4.06,12.6,14.78,"",NA,"Ruby Cabernet"
NA,12,7,"R7","12.7.R7",2.41,2.3,2.6,4.16,2.99,5.47,6.44,16.06,"",NA,"Gamay Noir"
NA,24,1,"R7","24.1.R7",3.63,3.52,NA,NA,5.19,NA,NA,16.11,"only 1 spur",NA,"Barbera"
NA,19,9,"R4","19.9.R4",2.15,2.84,3.14,3.75,4.61,5.14,6.93,7.97,"green growth",NA,"Syrah"
NA,12,5,"R5","12.5.R5",3.06,2.15,3.9,3.07,5.32,3.96,9.68,12.99,"",NA,"Chardonnay"
NA,32,5,"R4","32.5.R4",4.18,3.9,NA,NA,6.26,NA,NA,22.23,"only 1 spur",NA,"Rkatsiteli"
NA,18,5,"R3","18.5.R3",2.68,3.19,NA,NA,3.81,NA,NA,6.46,"only 1 spur",NA,"Durif1"
NA,20,2,"R4","20.2.R4",3.93,2.82,5.32,4.39,5.27,5.6,21.32,21.35,"green growth",NA,"Valdepenas"
NA,24,1,"R3","24.1.R3",3.85,2.65,3.64,5.1,3.87,5.36,13.63,8.52,"green growth",NA,"Barbera"
NA,24,1,"R2","24.1.R2",4.16,3.25,NA,NA,3.82,NA,NA,6.71,"only 1 spur",NA,"Barbera"
NA,38,7,"R2","38.7.R2",3.68,3.5,2.13,3.55,4.84,5.56,13.57,20.41,"",NA,"Verdelho"
NA,22,9,"R7","22.9.R7",4.84,3.44,NA,NA,10.88,NA,NA,18.53,"only 1 spur",NA,"Durif2"
NA,21,7,"R2","21.7.R2",2.33,2.28,NA,NA,2.22,NA,NA,5.51,"only 1 spur, spur dead?",NA,"Chasselas doree"
NA,21,7,"R3","21.7.R3",3.29,2.96,NA,NA,5.96,NA,NA,12.02,"only 1 spur",NA,"Chasselas doree"
NA,12,7,"R3","12.7.R3",3.86,3.42,4.46,3.21,2.95,3.98,6.91,8.29,"",NA,"Gamay Noir"
NA,18,5,"R5","18.5.R5",4.22,3.55,4.57,4.36,4.39,6.72,14.64,13.81,"",NA,"Durif1"
NA,21,7,"R4","21.7.R4",4.94,3.21,4.65,3.02,4.8,5.29,7.58,8.65,"",NA,"Chasselas doree"
NA,27,1,"R4","27.1.R4",4.29,3.71,NA,NA,7.97,NA,NA,17.07,"green growth, only 1 spur",NA,"Coda di Volpe"
NA,12,7,"R5","12.7.R5",3.47,2.36,NA,NA,2.69,NA,NA,10.99,"only 1 spur",NA,"Gamay Noir"
NA,21,9,"R1","21.9.R1",3.22,2.73,3.66,3.16,6.29,4.27,9.91,8.89,"",NA,"Gruner Veltiner"
NA,24,1,"R4","24.1.R4",3.19,3.78,2.79,2.23,5.36,3.36,10.74,14.43,"",NA,"Barbera"
NA,34,1,"R6","34.1.R6",3.21,3.67,2.8,3.27,3.94,6.39,7.43,9.04,"",NA,"Macabeo"
NA,28,7,"R4","28.7.R4",2.36,5.49,1.82,4.63,6.28,5.19,12.44,13.75,"",NA,"Refosco"
NA,13,5,"R2","13.5.R2",2.18,3.71,2.79,2.9,5.23,5.26,1.7,5.92,"",NA,"Pinot  Meunier"
NA,12,10,"R2","12.10.R2",2.64,2.84,4.06,3.53,4.91,6.12,6.41,3.73,"",NA,"Melon"
NA,39,7,"R6","39.7.R6",3.35,2.49,4.04,3.06,2.88,7.97,22.27,6.51,"spur 1 dead?",NA,"Carnelian"
NA,40,9,"R2","40.9.R2",4.84,3.9,4.41,3.84,5.41,7.26,10.87,12.48,"",NA,"Ruby Cabernet"
NA,20,2,"R5","20.2.R5",3.7,4.16,NA,NA,6.85,NA,NA,4.48,"only 1 spur",NA,"Valdepenas"
