"Date","RowNum","Num","Rep","RowNumNumRep","bud1.spur1","bud2.spur1","bud1.spur2","bud2.spur2","diam.spur1","diam.spur2","dist.spur2","dist.spur1","notes","days","Var"
NA,22,9,"R6","22.9.R6",4.25,4.37,3.53,3.86,6.07,4.48,21.39,20.74,"",NA,"Durif2"
NA,32,3,"R3","32.3.R3",2.36,4.36,4.05,NA,4.69,6.89,NA,11.73,"second spur only had 1 bud",NA,"Zinfandel/Primitivo"
NA,13,5,"R3","13.5.R3",2.37,2.11,2.43,4.98,2.32,4.35,4.6,4.56,"",NA,"Pinot  Meunier"
NA,18,1,"R1","18.1.R1",2.77,3.36,4.22,4.13,4.76,5.68,11.92,11.73,"",NA,"Cinsault"
NA,24,1,"R1","24.1.R1",3.48,3.12,3.4,3.52,4.29,4.64,11.93,20.91,"",NA,"Barbera"
NA,21,7,"R5","21.7.R5",3.9,4.1,NA,NA,6.02,NA,NA,18.35,"only 1 spur",NA,"Chasselas doree"
NA,20,4,"R3","20.4.R3",3.81,4.43,4.26,4.37,5.15,6.64,3.62,12.25,"",NA,"Viognier"
NA,34,7,"R4","34.7.R4",2.99,3.43,3.13,3.48,6.9,6.85,15.87,14.26,"green growth",NA,"Palomino"
NA,12,7,"R8","12.7.R8",4.64,3.95,2.45,2.68,4.59,2.88,9.96,5.01,"",NA,"Gamay Noir"
NA,17,3,"R7","17.3.R7",6.17,3.16,NA,NA,8.58,NA,NA,11.32,"only 1 spur",NA,"Alicante Bouchet"
NA,12,3,"R3","12.3.R3",3.04,NA,3.86,3.32,5.54,4.26,6.05,NA,"first spur only had 1 bud",NA,"Auxerrois"
NA,24,9,"R1","24.9.R1",2.79,NA,3.9,3.55,5.31,6.8,11.09,NA,"first spur only had 1 bud",NA,"Dolcetto"
NA,16,1,"R4","16.1.R4",3.14,4.07,NA,NA,7.36,NA,NA,9.5,"only 1 spur",NA,"Sauvignon blanc"
NA,18,1,"R3","18.1.R3",1.82,2.72,1.63,4.52,6.62,4.41,5.49,9.55,"",NA,"Cinsault"
NA,15,3,"R3","15.3.R3",3.81,4.98,NA,NA,5.61,NA,NA,9.07,"only 1 spur",NA,"Merlot"
NA,29,3,"R5","29.3.R5",3.33,3.13,3.79,2.68,5.26,6.67,6.23,16.51,"",NA,"Schiopettino"
NA,39,7,"R5","39.7.R5",2.69,4.36,NA,NA,6.78,NA,NA,13.11,"only 1 spur",NA,"Carnelian"
NA,21,9,"R8","21.9.R8",2.12,2.06,3.26,3.46,4.37,4.93,14.29,7.74,"",NA,"Gruner Veltiner"
NA,22,1,"R1","22.1.R1",2.1,3.62,NA,NA,6.73,NA,NA,4.19,"only 1 spur",NA,"Rotgipfler"
NA,32,3,"R6","32.3.R6",6.36,3.18,4.31,5.39,3.66,4.23,13.57,16.78,"",NA,"Zinfandel/Primitivo"
NA,20,4,"R2","20.4.R2",3.63,3.68,NA,NA,5.46,NA,NA,12.46,"only 1 spur",NA,"Viognier"
NA,34,5,"R2","34.5.R2",1.24,2.08,4.29,6.03,2.18,8.42,12.25,8.61,"",NA,"Morrastel"
NA,15,3,"R1","15.3.R1",4.58,3.2,3.64,3.37,5.89,5.67,19.34,6.13,"",NA,"Merlot"
NA,22,1,"R4","22.1.R4",2.85,3.39,4.24,2.57,7.76,4.54,6.64,7.59,"",NA,"Rotgipfler"
NA,22,9,"R5","22.9.R5",3.38,3.57,3.79,3.84,6.1,6.97,11.02,5.74,"",NA,"Durif2"
NA,17,3,"R5","17.3.R5",3.93,2.97,4.6,4.36,5.16,6.77,5.77,11.06,"",NA,"Alicante Bouchet"
NA,18,7,"R9","18.7.R9",3.47,2.5,NA,NA,5.67,NA,NA,6.42,"only 1 spur",NA,"Marsanne"
NA,19,7,"R4","19.7.R4",3.05,2.57,3.15,4.98,3.33,2.84,22.03,6.09,"green growth",NA,"Roussanne"
NA,28,7,"R3","28.7.R3",4.18,3.97,6.13,4.55,5.38,5.59,8.56,15.87,"",NA,"Refosco"
NA,13,3,"R1","13.3.R1",3.28,2.7,4.22,4.25,3.61,5.85,11.4,14.8,"",NA,"Pinot gris"
NA,44,1,"R3","44.1.R3",4.37,3.13,3.45,4.02,6.26,6.36,13.45,14.93,"",NA,"Ruby Seedless"
NA,12,5,"R2","12.5.R2",1.79,1.61,3.92,2.12,1.14,4.06,9.2,0.96,"",NA,"Chardonnay"
NA,19,9,"R1","19.9.R1",3.45,3.44,5.29,4.64,5.84,4.8,7.66,12.29,"",NA,"Syrah"
NA,14,1,"R3","14.1.R3",2.35,2.26,3.38,3.89,1.79,8.09,12.45,6.38,"",NA,"Cabernet Sauvignon"
NA,16,1,"R3","16.1.R3",2.44,1.73,4.01,4.75,4.57,5.34,17.4,12.39,"",NA,"Sauvignon blanc"
NA,17,2,"R2","17.2.R2",3.6,3.23,3.68,3.39,6.3,7.69,11.28,22.65,"",NA,"Ugni blanc/Trebbiano"
NA,29,3,"R7","29.3.R7",3.31,2.97,3.15,4,4.73,7.11,7.89,10.21,"",NA,"Schiopettino"
NA,13,5,"R4","13.5.R4",4.09,3.24,NA,NA,4.67,NA,NA,7.58," only 1 spur",NA,"Pinot  Meunier"
NA,14,3,"R1","14.3.R1",3.63,5.54,3.47,3.52,4.99,6.35,11.31,9.33,"",NA,"Carmenere"
NA,24,9,"R2","24.9.R2",4.32,2.08,4.62,2.92,7.28,9.88,9.48,6.64,"",NA,"Dolcetto"
NA,12,10,"R1","12.10.R1",2.85,2.37,4.16,4.14,4.35,4.45,6.98,7.63,"",NA,"Melon"
NA,18,5,"R4","18.5.R4",4.67,2.79,NA,NA,6.19,NA,NA,6.69,"only 1 spur",NA,"Durif1"
NA,18,7,"R5","18.7.R5",4.43,3.99,NA,NA,5.93,NA,NA,6.68,"only 1 spur",NA,"Marsanne"
NA,18,5,"R8","18.5.R8",4.06,3.32,NA,NA,5.93,NA,NA,10.57,"only 1 spur",NA,"Durif1"
NA,14,3,"R2","14.3.R2",3.7,4.43,NA,NA,6.23,NA,NA,31.25,"only 1 spur",NA,"Carmenere"
NA,32,5,"R3","32.5.R3",2.57,3.02,3.51,2.49,5.04,6.71,6.82,8.79,"",NA,"Rkatsiteli"
NA,12,3,"R1","12.3.R1",4,5.42,3.43,3.1,6.81,5.33,14.28,9.07,"",NA,"Auxerrois"
NA,12,1,"R3","12.1.R3",3.48,3.79,3.26,4.32,4.13,5.51,8.12,6.24,"",NA,"Aligote"
NA,25,9,"R2","25.9.R2",2.79,3.3,3.29,2.33,4.25,6.09,10.45,5.26,"",NA,"Nebbiolo"
NA,18,3,"R4","18.3.R4",4.57,5.66,NA,NA,5.52,NA,NA,13.8,"only 1 spur",NA,"Counoise"
NA,29,7,"R3","29.7.R3",6.68,2.78,3.38,4.13,5.49,6.1,8.53,10.5,"",NA,"Tocai Friulano"
NA,13,5,"R6","13.5.R6",4.41,5.05,2.53,4.1,5.05,5.44,6.96,13.56,"",NA,"Pinot  Meunier"
NA,12,5,"R3","12.5.R3",2.93,3.59,NA,NA,5.2,NA,NA,7.4,"only 1 spur",NA,"Chardonnay"
NA,22,9,"R2","22.9.R2",3.75,4.07,4.03,2.44,5.72,6.02,4.93,10.66,"",NA,"Durif2"
NA,17,2,"R5","17.2.R5",3.99,4.55,NA,NA,6.57,NA,NA,13.76,"only 1 spur",NA,"Ugni blanc/Trebbiano"
NA,20,5,"R5","20.5.R5",2.76,1.56,NA,NA,3.38,NA,NA,6.27,"green growth, only 1 spur",NA,"Gewurtztraminer"
NA,26,6,"R2","26.6.R2",3.6,2.95,4.77,5.13,5.6,4.72,10.79,7.13,"",NA,"Sangiovese"
NA,14,3,"R4","14.3.R4",3.24,4.34,NA,NA,5.28,NA,NA,19.36,"only 1 spur",NA,"Carmenere"
NA,21,7,"R7","21.7.R7",4.75,3.41,NA,NA,5.23,NA,NA,11.13,"only 1 spur",NA,"Chasselas doree"
NA,20,5,"R3","20.5.R3",3.38,2.67,3.58,3.37,4.24,4.25,12.78,8.31,"",NA,"Gewurtztraminer"
NA,22,7,"R4","22.7.R4",2.15,3.01,NA,NA,5.02,NA,NA,7.06,"only 1 spur",NA,"Furmint"
NA,38,7,"R3","38.7.R3",2.95,3,4.31,3.78,6.17,4.98,17.15,17.12,"",NA,"Verdelho"
NA,19,9,"R2","19.9.R2",2.82,5.18,3.52,2.1,7.41,3.41,34.16,17.87,"green growth",NA,"Syrah"
NA,17,3,"R3","17.3.R3",2.04,1.9,3.96,3.76,1.93,6.05,5.4,11.91,"",NA,"Alicante Bouchet"
NA,22,1,"R2","22.1.R2",4.32,2.33,NA,NA,5.9,NA,NA,20.05,"only 1 spur",NA,"Rotgipfler"
NA,16,1,"R5","16.1.R5",3.87,4.84,NA,NA,6.61,NA,NA,18.98,"green growth, only 1 spur",NA,"Sauvignon blanc"
NA,44,1,"R5","44.1.R5",3.73,3.56,3.75,2.94,6.93,7.38,1.63,5.47,"",NA,"Ruby Seedless"
NA,32,5,"R5","32.5.R5",3.13,3.29,NA,NA,6.66,NA,NA,12.18,"only 1 spur",NA,"Rkatsiteli"
NA,35,3,"R5","35.3.R5",2.67,NA,NA,NA,2.43,NA,NA,NA,"green growth, only 1 spur with only 1 bud",NA,"Tempranillo"
NA,34,7,"R2","34.7.R2",5.26,5.27,NA,NA,8.49,NA,NA,12.08,"only 1 spur",NA,"Palomino"
NA,40,9,"R1","40.9.R1",3.11,4.2,1.77,3.44,6.31,6.18,10.84,10.01,"",NA,"Ruby Cabernet"
NA,42,7,"R1","42.7.R1",1.56,2.52,2.37,1.5,4,5.84,4.26,2.7,"",NA,"Early Muscat"
NA,25,9,"R3","25.9.R3",3.31,2.73,2.75,4.26,5.4,4.3,10.37,7.48,"",NA,"Nebbiolo"
NA,17,2,"R4","17.2.R4",2.27,4.14,NA,NA,6.79,NA,NA,4.64,"only 1 spur",NA,"Ugni blanc/Trebbiano"
NA,21,9,"R3","21.9.R3",5.24,3.61,3.7,2.35,5.48,4.05,8.65,9.48,"",NA,"Gruner Veltiner"
NA,12,7,"R2","12.7.R2",2.76,2.57,2.3,3.83,2.85,4.74,6.48,11.01,"",NA,"Gamay Noir"
NA,44,1,"R1","44.1.R1",5.14,2.74,NA,NA,9.23,NA,NA,15.77,"green growth, only 1 spur",NA,"Ruby Seedless"
NA,20,5,"R7","20.5.R7",3.02,3.06,1.41,1.66,4.46,4.46,11.94,4.56,"",NA,"Gewurtztraminer"
NA,14,1,"R6","14.1.R6",2.78,3.76,4.56,4.76,5.06,5.23,9.51,15,"",NA,"Cabernet Sauvignon"
NA,39,3,"R2","39.3.R2",3.41,3.21,3.59,4.16,6.48,6.97,12.68,12.8,"",NA,"Calzin"
NA,22,9,"R3","22.9.R3",3.06,2.23,3.91,4.96,6.87,6.62,6.84,6.96,"",NA,"Durif2"
NA,24,9,"R4","24.9.R4",5.11,3.01,4.88,3.51,4.56,6.18,0.8,12.27,"",NA,"Dolcetto"
NA,NA,NA,"","UNLABELED 1",3.52,4.39,NA,NA,5.8,NA,NA,6.69,"only 1 spur",NA,NA
NA,27,1,"R3","27.1.R3",2.67,2.71,4.2,4.55,3.6,6.93,11.25,25.23,"",NA,"Coda di Volpe"
NA,18,3,"R1","18.3.R1",4.74,5.26,NA,NA,8.08,NA,NA,12.37,"only 1 spur",NA,"Counoise"
NA,14,1,"R10","14.1.R10",1.76,1.7,5.04,3.72,1.92,6.37,8.77,6.18,"",NA,"Cabernet Sauvignon"
NA,39,7,"R4","39.7.R4",2.72,1.54,4.02,2.5,2.22,5.91,7.33,4.07,"",NA,"Carnelian"
NA,42,7,"R6","42.7.R6",1.9,2.54,NA,NA,3.09,NA,NA,3.06,"green growth, only 1 spur",NA,"Early Muscat"
NA,17,3,"R4","17.3.R4",4.4,3.99,NA,NA,7.78,NA,NA,5.23,"only 1 spur",NA,"Alicante Bouchet"
NA,22,1,"R7","22.1.R7",2.22,3.83,NA,NA,6.54,NA,NA,11.45,"only 1 spur",NA,"Rotgipfler"
NA,14,1,"R1","14.1.R1",1.38,2.48,3.43,3.57,4.27,5.97,6.55,8.71,"",NA,"Cabernet Sauvignon"
NA,18,5,"R2","18.5.R2",4.37,2.23,NA,NA,4.56,NA,NA,14.4,"only 1 spur",NA,"Durif1"
NA,24,1,"R9","24.1.R9",3.93,3.51,2.88,3.07,5.93,3.85,10.33,12.08,"",NA,"Barbera"
NA,12,1,"R1","12.1.R1",3,3.34,3.04,2.68,5.96,4.04,9.83,15.98,"",NA,"Aligote"
NA,42,7,"R4","42.7.R4",2.92,3.19,NA,NA,5.13,NA,NA,13.03,"only 1 spur",NA,"Early Muscat"
NA,24,1,"R8","24.1.R8",2.8,3.36,5.81,5.04,4.94,5.39,9.82,3.18,"",NA,"Barbera"
NA,26,6,"R1","26.6.R1",3.24,2.57,NA,NA,4.43,NA,NA,9.26,"",NA,"Sangiovese"
NA,13,3,"R3","13.3.R3",2.61,3.12,3.67,4.54,2.49,5.58,10.16,9.87,"",NA,"Pinot gris"
NA,13,9,"R2","13.9.R2",3.14,4.98,NA,NA,6.08,NA,NA,7.26,"only 1 spur",NA,"Cabernet franc"
NA,15,3,"R2","15.3.R2",4.23,5.26,NA,NA,6.52,NA,NA,11.26,"only 1 spur",NA,"Merlot"
NA,20,5,"R2","20.5.R2",2.32,2.74,4.01,2.63,4.26,5.66,6.3,6.07,"",NA,"Gewurtztraminer"
NA,40,9,"R3","40.9.R3",3.4,2.27,NA,NA,7.15,NA,NA,16.26,"only 1 spur",NA,"Ruby Cabernet"
NA,38,7,"R6","38.7.R6",4.02,3.41,NA,NA,5.29,NA,NA,18.88,"only 1 spur",NA,"Verdelho"
NA,20,2,"R6","20.2.R6",1.82,NA,4.7,3.97,4.04,6.28,13.83,NA,"first spur only had 1 bud",NA,"Valdepenas"
NA,34,5,"R1","34.5.R1",4.25,4.55,3.63,4.01,5.88,5.12,6.63,14.32,"",NA,"Morrastel"
NA,29,3,"R8","29.3.R8",3.28,3.95,NA,NA,6.07,NA,NA,7.97,"only 1 spur",NA,"Schiopettino"
NA,26,6,"R6","26.6.R6",3.66,3.48,3.83,5.07,4.73,5.58,6.75,10.41,"",NA,"Sangiovese"
NA,16,1,"R6","16.1.R6",4.37,4.81,4.55,4.47,3.93,7.53,4.76,21.19,"",NA,"Sauvignon blanc"
NA,32,7,"R4","32.7.R4",3.65,3.56,5.11,5.06,6.63,6.21,14.54,6.39,"",NA,"Pinotage"
NA,18,3,"R6","18.3.R6",4.74,3.51,4.3,4.21,4.57,7.04,14.61,7.45,"",NA,"Counoise"
NA,29,3,"R1","29.3.R1",2.79,3.45,4.31,3.99,4.73,7.57,6.46,5.53,"",NA,"Schiopettino"
NA,12,7,"R1","12.7.R1",3.35,2.88,4.76,4.56,5.41,4.55,6.54,15.21,"",NA,"Gamay Noir"
NA,19,9,"R5","19.9.R5",5.09,2.67,NA,NA,4.95,NA,NA,14.18,"only 1 spur",NA,"Syrah"
NA,40,9,"R7","40.9.R7",4.51,4.76,3.14,2.97,5.07,4.63,10.73,8.94,"white fuzzy mold on one spur?",NA,"Ruby Cabernet"
NA,18,7,"R2","18.7.R2",3.83,5.58,NA,NA,6.54,NA,NA,29.66,"only 1 spur",NA,"Marsanne"
NA,17,3,"R1","17.3.R1",4.64,4.24,NA,NA,5.91,NA,NA,7.35,"only 1 spur",NA,"Alicante Bouchet"
NA,34,1,"R3","34.1.R3",4.8,4.29,NA,NA,6.37,NA,NA,11.48,"only 1 spur",NA,"Macabeo"
NA,32,3,"R2","32.3.R2",5.15,2.69,2.65,4.44,6.57,3.89,31,7.86,"green growth",NA,"Zinfandel/Primitivo"
NA,22,7,"R8","22.7.R8",3.69,2.87,4.17,4.2,5.09,6.44,6.68,6.76,"",NA,"Furmint"
NA,17,3,"R6","17.3.R6",1.73,2.04,4.33,4.16,1.75,5.87,5.65,4.98,"",NA,"Alicante Bouchet"
NA,14,1,"R7","14.1.R7",7.03,3.47,4.53,3.39,4.95,6.4,3.62,10.51,"",NA,"Cabernet Sauvignon"
NA,35,3,"R6","35.3.R6",4.39,4.22,NA,NA,7.29,NA,NA,9.83,"only 1 spur",NA,"Tempranillo"
NA,20,4,"R6","20.4.R6",3.59,4.43,3.42,3.53,4.41,6.32,15.66,27.14,"",NA,"Viognier"
NA,42,7,"R2","42.7.R2",3.39,3.25,2.87,4.42,5.71,6.8,13.98,10.01,"",NA,"Early Muscat"
NA,16,1,"R7","16.1.R7",2.44,3.53,5.4,4.53,6.46,6.12,8.7,15.16,"",NA,"Sauvignon blanc"
NA,17,3,"R2","17.3.R2",5.49,2.86,4.15,4.58,5.37,8.01,5.54,13.45,"",NA,"Alicante Bouchet"
NA,21,9,"R4","21.9.R4",4.33,3.44,NA,NA,4.38,NA,NA,8.52,"only 1 spur",NA,"Gruner Veltiner"
NA,28,7,"R5","28.7.R5",3.2,3.97,3.38,3.11,6.48,5.02,8.31,10.44,"",NA,"Refosco"
NA,14,1,"R5","14.1.R5",4.41,5.33,3.92,3.46,6.75,4.76,10.47,6.06,"",NA,"Cabernet Sauvignon"
NA,27,1,"R1","27.1.R1",3.78,3.25,4.15,4.3,5.25,4.86,24.51,12.5,"",NA,"Coda di Volpe"
NA,20,4,"R4","20.4.R4",2.41,2.11,2.48,2.69,3.6,4.5,53.21,34.97,"",NA,"Viognier"
NA,19,9,"R9","19.9.R9",3.04,2.63,4.12,3.26,5.53,5.52,5.59,20.61,"",NA,"Syrah"
NA,18,1,"R7","18.1.R7",3.84,4.99,NA,NA,6.46,NA,NA,14.63,"only 1 spur",NA,"Cinsault"
NA,44,1,"R6","44.1.R6",4.77,5.66,NA,NA,6.71,NA,NA,15.21,"green growth, only 1 spur",NA,"Ruby Seedless"
NA,18,7,"R1","18.7.R1",2.25,3.05,3.6,4.08,4.89,5.63,8.45,10.46,"",NA,"Marsanne"
NA,39,7,"R8","39.7.R8",2.54,4.84,NA,NA,7.32,NA,NA,18.38,"only 1 spur",NA,"Carnelian"
NA,43,3,"R3","43.3.R3",4.9,3.17,5.29,6.25,6.32,6.63,18.17,15.14,"green growth",NA,"July Muscat"
NA,19,7,"R2","19.7.R2",3.9,3.33,NA,NA,4.58,NA,NA,19.5,"only 1 spur",NA,"Roussanne"
NA,34,7,"R1","34.7.R1",2.52,2.63,NA,NA,5.66,NA,NA,33.07,"green growth, only 1 spur",NA,"Palomino"
NA,18,5,"R1","18.5.R1",4,4.54,5.86,3.6,5.93,7.14,9.34,7.51,"",NA,"Durif1"
NA,12,7,"R6","12.7.R6",5.28,4.84,4.82,3.83,4.93,5.63,3.27,8.02,"",NA,"Gamay Noir"
NA,13,3,"R6","13.3.R6",2.55,1.23,3.78,3.54,15.58,5.96,6.66,2.52,"",NA,"Pinot gris"
NA,13,9,"R3","13.9.R3",2.58,4.08,NA,NA,5.44,NA,NA,10.64,"only 1 spur",NA,"Cabernet franc"
NA,25,9,"R1","25.9.R1",4.26,3.62,3.6,3.19,5.5,4.78,21.02,21.49,"",NA,"Nebbiolo"
NA,28,7,"R1","28.7.R1",2.86,2.8,3.21,3.97,4.08,5.81,9.82,20.29,"",NA,"Refosco"
NA,12,3,"R5","12.3.R5",4.46,3.92,2.97,3.85,4.94,4.62,30.3,13.67,"",NA,"Auxerrois"
NA,21,9,"R2","21.9.R2",4.76,3.44,4.18,3.37,4.42,5.78,23.6,25.08,"",NA,"Gruner Veltiner"
NA,18,7,"R8","18.7.R8",1.85,1.31,2.91,2.98,1.31,4.72,7.08,4.28,"",NA,"Marsanne"
NA,20,2,"R2","20.2.R2",3.43,3.13,1.79,1.76,6.8,4.98,22.26,20.18,"green growth",NA,"Valdepenas"
