"plantID","variety","stage","doy","m","intercept","n"
"25.7","Muscato bianco","budburst",72.3549148099607,2.33119266055046,56.0365661861075,7
"25.8","Muscato bianco","budburst",74.6271060455897,1.84068384539148,61.7423191278494,7
"25.9","Nebbiolo","budburst",74.1060931899642,1.70494623655914,62.1714695340502,7
"25.10","Nebbiolo","budburst",74.3693624828008,1.76486775722367,62.0152881822351,7
"26.1","Picolit","budburst",74.9911386055844,1.83380705567631,62.1544892158502,7
"26.2","Picolit","budburst",75.3489736070381,2.2821914156225,59.3736336976806,8
"26.3","Durif","budburst",NA,NA,NA,NA
"26.4","Rondinella","budburst",NA,NA,NA,NA
"26.5","Sangiovese","budburst",74.5083172613307,2.13500482160077,59.5632835101253,8
"26.6","Sangiovese","budburst",73.6332722120354,1.85180863477246,60.6706117686281,7
"26.7","Bonarda","budburst",NA,NA,NA,NA
"26.8","Bonarda","budburst",NA,NA,NA,NA
"26.9","Ciliegiolo","budburst",82.8343393695506,2.90241448692153,62.5174379610999,8
"26.10","Ciliegiolo","budburst",76.7755474452555,1.98492124471763,62.8810987322321,7
"27.1","Coda di Volpe","budburst",76.8529935851746,1.89932287954384,63.5577334283678,7
"27.2","Coda di Volpe","budburst",75.8017069184674,1.93880515707282,62.2300708189577,7
"27.3","Cortese","budburst",NA,NA,NA,NA
"27.4","Cortese","budburst",NA,NA,NA,NA
"27.5","Erbaluce","budburst",75.9664742037623,1.95371577574967,62.2904637735146,7
"27.6","Erbaluce","budburst",76.1683899556869,1.94091580502216,62.5819793205318,7
"27.7","Durif","budburst",NA,NA,NA,NA
"27.8","Durif","budburst",NA,NA,NA,NA
"27.9","Fiano","budburst",75.677237491191,1.89931289640592,62.3820472163495,7
"27.10","Fiano","budburst",75.1846727622714,2.14677574590953,60.1572425409047,8
"28.1","Forastera","budburst",81.625,2.38111888111888,64.9571678321678,8
"28.2","Forastera","budburst",NA,NA,NA,NA
"28.3","Greco di tufo","budburst",74.826557814062,1.82889036987671,62.024325224925,7
"28.4","Greco di tufo","budburst",NA,NA,NA,NA
"28.5","Mammolo","budburst",73.0157593123209,1.91260744985673,59.6275071633238,7
"28.6","Mammolo","budburst",74.0306198102017,1.73376334519573,61.8942763938316,7
"28.7","Refosco","budburst",74.243287037037,1.78217592592593,61.7680555555556,7
"28.8","Refosco","budburst",74.5234931950746,1.80865197666883,61.8629293583928,7
"28.9","Sagrantino","budburst",81.8230909644052,2.37709157286279,65.1834499543657,8
"28.10","Sagrantino","budburst",83.2071656050955,2.37324840764331,66.5944267515924,8
"29.1","Sangiovese","budburst",74.134889971443,1.86334621199395,61.0914664874853,7
"29.2","Sangiovese","budburst",NA,NA,NA,NA
"29.3","Schiopettino","budburst",75.6561553536433,1.91314804917157,62.2641190094424,7
