"variety","n.2014","sd.2014","doy.2014","se.2014","n.2015","sd.2015","doy.2015","se.2015"
"Aglicanico",6,3.98505178825841,76.8178571428572,1.62689057996646,14,0.074919902139182,73.2881658202938,0.0200231860896751
"Albillo Real",8,4.32690219205504,61.2547038327527,1.52979094076653,12,0.488356767394718,68.2362372505357,0.140976455557958
"Aleatico",7,9.39597458650139,76.6060426540285,3.55134458299509,14,0.764677820585417,69.1261072711389,0.204368743992545
"Alicante Bouschet",8,13.1117800282875,56.2714285714286,4.6357142857142,13,8.32602883681199,63.4397724032455,2.30922491477826
"Aligote",7,0.426571811394104,70.0091789903111,0.161228989894164,14,1.0595246549421,65.1594787307429,0.283169875116659
"Arneis",7,20.8049926019168,49.9913513513515,7.86354806474437,14,0.332471843232369,68.9776856874958,0.0888568377231959
"Auxerrois",8,18.7633998509583,59.5177272727273,6.63386363636362,15,1.1364189574662,66.2397156875304,0.293422113105399
"Barbera",8,21.9501755963613,36.6354037267079,7.76055900621127,14,1.31178961485386,69.3740869600603,0.350590521593663
"Beauty Seedless",8,12.8455773442267,47.5892189447446,4.54159742417947,13,4.22382662605636,64.3517186227897,1.17147872914741
"Biancello",7,9.81864357984795,68.6094961240312,3.71109844632266,14,0.39898378503051,68.1800833236521,0.106632901890174
"Biancetta trevigniana",6,2.76496882387053,74.8782051282053,1.12879379553102,14,0.135625980501171,68.794806251082,0.0362475679843331
"Blush Seedless",8,3.9289241662325,84.2170578095996,1.38908446035535,15,0.780346028773595,72.0395206251322,0.201484478247949
"Burger",7,21.9420196355036,68.0942982456141,8.29330388829122,14,0.587625325940173,67.8777059887336,0.157049474389964
"Cabernet franc",8,14.5447082525369,71.1542270531401,5.14233091787438,13,1.04469544221054,67.4657464948488,0.289746383394894
"Cabernet Sauvignon",NA,NA,83.5544554455446,NA,NA,NA,70.7871287128713,NA
"Calzin",8,14.0560636603658,81.4908620689656,4.96956896551723,16,0.48425540679281,74.9663087088136,0.121063851698202
"Canner",8,12.766075304947,66.4730215827338,4.51348920863308,15,0.695015417068304,70.4041232918172,0.179452209044196
"Carignane",7,24.3699301373221,45.7678571428573,9.21096780162462,14,3.06896069724438,65.6060454348592,0.820214247325953
"Carmenere",7,0.0893875992661123,84.1346351490237,0.0337853368501761,14,0.440740925142577,68.8657118106204,0.117792967015236
"Carmine",8,6.80587610040566,68.7940762345369,2.40624057125615,14,1.02258331336104,70.1269438449186,0.273296886287793
"Carnelian",8,0.68784407130814,79.4675112826927,0.243189603610475,15,2.25150028696965,70.8147885927118,0.581334874360979
"Castelao",8,14.5836046970118,64.0621657754012,5.15608288770052,15,0.228418042718058,68.2077200005411,0.0589772850280222
"Centennial Seedless",8,6.87561202019956,76.2434712736039,2.43089594214542,14,2.98455190287136,69.7098474387741,0.797655048113489
"Centurion",7,3.94377514521156,61.1044596223384,1.49060689442677,14,0.388351126294961,69.349218999689,0.10379120431168
"Chardonnay",7,2.83087104219265,65.9660138248849,1.06996868161943,16,1.68986435700722,63.1117606171694,0.422466089251805
"Chasselas doree",4,NA,77.8502202643172,NA,14,1.29248827664742,66.5407361975251,0.345432021974038
"Chenin blanc",8,24.5972144598463,53.1071428571429,8.69642857142855,13,0.386735331004423,61.3178160192656,0.107261081997691
"Christmas Rose",8,2.78773033158433,68.4028776978418,0.985611510791351,14,1.94809527993643,71.9747613444322,0.520650363879541
"Ciliegiolo",NA,NA,33.857142857143,NA,15,2.33791577570173,72.4739398099443,0.603647257608559
"Cinsault",8,1.39933802832659,70.6680528375734,0.494740704500973,15,0.73724304714272,70.478237543432,0.190355336246064
"Coda di Volpe",8,3.89859141992902,63.1400537634409,1.37836021505375,14,0.827126489531925,70.570158196896,0.221058852810966
"Cornifesto",8,5.49859217714948,90.001776025968,1.94404590772085,NA,NA,73.0915761667156,NA
"Cot",8,0.97672303588352,61.0287769784172,0.345323741007174,14,1.3040776879289,66.5814646242453,0.348529422426161
"Counoise",7,6.38567044939952,73.8179824561404,2.41355656621789,16,0.729146367904338,70.8730972945906,0.182286591976084
"Dawn Seedless",8,7.65308608808354,82.1687507159789,2.70577453494415,16,0.776064450770877,70.2291321262056,0.194016112692719
"Delight",6,11.9352288686156,68.4394812680115,4.87253678190727,14,1.12106886649899,66.6770271885024,0.299618257529873
"Dolcetto",8,11.2608232862515,70.9778716830244,3.9813022537259,16,2.15245011699219,71.9317115274428,0.538112529248048
"Durif",NA,NA,45.0402097902099,NA,NA,NA,71.5488096812331,NA
"Early Muscat",8,0.140095816699102,43.0108274078862,0.0495313510019013,13,3.40352112067623,59.474270586448,0.943966916747909
"Emerald Reisling",8,14.9735960523655,83.0159148464705,5.29396565368788,14,0.0246163998875746,69.6704361765545,0.00657900960536604
"Emerald Seedless",8,0.0138048073638411,77.5447408967684,0.004880736449973,15,1.15190360062487,74.3428864073169,0.297420230777099
"Erbaluce",8,0.230651497672775,61.5630952380953,0.0815476190476261,14,0.16992883571548,70.2254847085669,0.0454153916700514
"Fiano",8,14.9378620145952,50.8318942961801,5.2813317634746,15,0.873243836919592,69.361822163258,0.22547058917119
"Flora",7,4.56835849936968,73.4870740305523,1.72667721273148,13,0.646214028544652,69.248727781411,0.179227524218607
"Folle blance",6,14.5663996924429,52.2000000000001,5.94670777265315,13,10.3435431709028,70.8456665362747,2.86878271328195
"Forastera",NA,NA,86.6345083487941,NA,NA,NA,74.4816433566433,NA
"Furmint",6,10.4298250225016,58.8750000000001,4.25795823527349,15,1.37638099375721,69.9249972798531,0.355380044457206
"Gamay Noir",7,27.3260903193322,55.6557971014493,10.328291326949,16,5.04020397773262,71.7532033416288,1.26005099443316
"Gewurztraminer",7,3.05172400301541,50.8421052631579,1.15344325456933,15,1.22096904222727,67.7813058194627,0.315252851118735
"Glennel",4,NA,87.8409448818898,NA,7,NA,70.2327456864216,NA
"Gold",8,5.1864410148325,89.354610410166,1.83368380590605,15,2.72317961640415,70.0837670212441,0.70312195353765
"Gouveio",7,12.2135369916181,55.8772386844677,4.61628307261564,14,0.101859159593674,69.1295088676787,0.0272230054931612
"Graciano",8,3.12495742243991,78.6917298663778,1.10483929216325,16,0.858414469793024,74.057481799641,0.214603617448256
"Greco di tufo",NA,NA,64.9166666666667,NA,NA,NA,69.3398867044319,NA
"Grignolino",7,5.01911075259678,71.5085067081471,1.89704555058019,15,0.158905827657887,68.5425114367592,0.0410293082756203
"Gruner Veltiner",7,10.6091720805069,69.4065794256635,4.00989013447299,15,0.399561226385428,70.1225075460762,0.103166265038732
"Helena",8,6.05193077610555,79.3841231958177,2.1396806455279,14,0.945888205952161,70.6780912367279,0.25279925663309
"Juan Garcia",8,14.7184568956155,76.8391753557507,5.2037603397458,15,2.80401397975918,73.7567836584542,0.72399329640934
"July Muscat",8,11.370379712992,72.4181213802105,4.0200362998613,14,1.40079608348231,67.7073389779556,0.374378500937542
"Macabeo",7,14.7658578529565,81.3458001226242,5.58096968192188,16,0.783074085591635,71.1726159745269,0.195768521397909
"Malvasia bianca",NA,NA,63.0152671755726,NA,NA,NA,70.1231150983012,NA
"Mammolo",NA,NA,66.7419354838711,NA,14,1.09700037755295,68.0536333686826,0.293185683283201
"Marsanne",8,0.437261886639692,64.3220940710038,0.154595422598675,15,0.939912154409117,68.3500059010086,0.242684274728296
"Melon",8,37.0341901979501,52.3635976129583,13.0935635123614,14,1.82185726263228,66.5663369290187,0.486911834598274
"Merlot",8,8.12297971466071,66.0819435360802,2.87190701983868,14,0.129555567986886,68.5744290039239,0.0346251819968447
"Montepulciano",NA,NA,90.4179487179487,NA,NA,NA,76.5493565662217,NA
"Morrastel",8,1.84651225951832,91.9985384831067,0.65284067012475,15,1.43125101225971,73.9028364485601,0.369547422314958
"Mourvedre",NA,NA,80.560950975648,NA,NA,NA,73.3497455163884,NA
"Muscadelle du Bordelais",7,11.2103303146007,59.8216374269006,4.23710658961743,15,7.45339679735837,63.1409540719066,1.92445877792298
"Muscat Ottonel",8,2.64064235684878,43.0338827838828,0.933608058608099,14,0.334750693118021,69.1170795994747,0.0894658859737673
"Muscato bianco",7,25.1009438620634,43.6776190476188,9.48726501885897,14,2.64720815915802,67.2331956688623,0.707496140217276
"Nebbiolo",7,10.3788893645347,23.3389830508477,3.92285144908745,14,0.0590467614402452,69.0330068457083,0.0157809107934266
"Negramaro",4,NA,57.175572519084,NA,7,NA,71.9825708061002,NA
"Negrette",8,2.56289834374506,73.4377572016461,0.90612139917695,14,0.646519235877398,69.6330945717247,0.172789533900865
"Negro Amaro",7,6.00612414141135,63.7124883504194,2.27010154593654,16,3.12062524706237,73.989126484502,0.780156311765594
"Niabell",8,3.30371421677583,85.2347273744333,1.1680393628923,16,1.25028193386617,72.9097545232203,0.312570483466542
"Palomino",8,3.11205165061527,76.1778255528256,1.10027641277642,15,1.51846026638413,70.6900519904181,0.39206475490556
"Parellada",8,0.495319676967719,80.930243902439,0.175121951219502,16,1.05989260864248,69.4445218702453,0.26497315216062
"Pedro Ximenez",7,20.6942782977903,50.8830645161291,7.82170199113061,14,0.457440252834757,68.8098281880505,0.122256050073351
"Periquita",7,3.20851424933147,75.2224658869396,1.21270439739117,14,0.0145568646042051,68.593980246599,0.00389048571247088
"Perlette",4,NA,62.0394736842107,NA,7,NA,68.4033912211131,NA
"Petit Manseng",6,12.7913803622335,63.8782051282053,5.22205916555486,14,1.96079921838512,64.7749836324985,0.524045634246518
"Petit Verdot",8,1.75651979100583,82.6365243730628,0.6210235277543,14,0.0274841706028272,68.9194788000698,0.00734545356824453
"Picolit",8,15.0704399108271,57.6564102564102,5.32820512820512,15,0.698139308413965,68.996058399363,0.180258794321337
"Pinot gris",NA,NA,80.7383177570094,NA,14,3.60200823870554,62.3026876890503,0.962677195255227
"Pinot Meunier",7,10.5218716328697,51.5241989319093,3.97689366678834,14,10.2305744220387,71.1395245005605,2.73423602551154
"Pinot noir",NA,NA,47.7228915662653,NA,NA,NA,64.3260010843467,NA
"Pinotage",8,8.57619510324832,59.0642857142858,3.03214285714288,13,1.27763590266031,66.602691514326,0.354352442955036
"Queen",8,19.6966695121214,47.1834625322997,6.96382428940568,14,0.778325779924111,70.1534918246635,0.208016314554974
"Refosco",7,6.41507718353571,66.4638554216869,2.42467126698859,14,0.141971489420515,68.9971482621637,0.0379434765786834
"Reisling",NA,NA,71.6255144032922,NA,NA,NA,70.255079642033,NA
"Reisling Italico",NA,NA,44.0361445783133,NA,NA,NA,68.6432481751825,NA
"Ribolla gialla",7,1.06475934152577,52.586231884058,0.402441203401441,14,0.164180374563927,69.8486422270365,0.0438790508036022
"Rkatsiteli",8,4.85851832677193,64.5399688673199,1.71774562768978,14,0.00743807178036304,68.9744388648753,0.00198790830145358
"Rotgipfler",8,16.5733021039954,74.5619514472456,5.8595471521942,16,0.456582265704399,72.1568727848233,0.1141455664261
"Roussanne",8,1.50284344864358,87.4295772684179,0.531335396798827,16,1.15689996381994,72.2423508749922,0.289224990954985
"Rubired",8,19.4646050399512,61.4864457831327,6.88177710843368,14,0.526392445302334,70.0488556973729,0.14068429866482
"Ruby Cabernet",8,21.2798667952742,82.6946201280734,7.52356905684243,NA,NA,71.8151481888035,NA
"Ruby Seedless",8,20.75197318314,71.2320004956835,7.33693048039982,14,0.7808158190648,71.1191998606868,0.208681805508125
"Sagrantino",8,1.76384340881545,74.7575137011683,0.623612817662302,16,0.986841148664237,75.3896183139912,0.246710287166059
"Sangiovese",NA,NA,65.922032288699,NA,NA,NA,68.2420001465692,NA
"Sauvignon blanc",7,5.91222009078781,83.5709818769677,2.23460915092918,16,4.0658414269293,73.6335291124858,1.01646035673233
"Sauvignon gris",7,2.92622442333433,73.3114438819121,1.10600887207229,14,1.32760598812931,68.4052388189229,0.354817625157811
"Sauvignon vert",8,11.3127812925888,66.3546075239645,3.99967218303492,14,1.48303113513473,67.1886585123617,0.3963567429709
