Date,RowNum,Num,Rep,BlueTag,Leaves,Flowbuds,Flowers,Notes,,,
11-Jun-2017,12,1,R1,N,N,N,N,EXAMPLE ROW,,,
15-Jun-2017,18,5,R7,N,N,N,N,,,,
15-Jun-2017,35,3,R6,N,N,N,N,,,,
15-Jun-2017,20,2,R1,N,N,N,N,,,,
15-Jun-2017,38,7,R5,N,N,N,N,,,,
15-Jun-2017,38,7,R1,N,N,N,N,,,,
15-Jun-2017,18,7,R3,N,N,N,N,,,,
15-Jun-2017,38,7,R2,N,N,N,N,,,,
15-Jun-2017,18,5,R5,Y,N,N,N,,,,
15-Jun-2017,18,7,R9,N,N,N,N,,,,
15-Jun-2017,18,5,R1,Y,N,N,N,,,,
15-Jun-2017,19,9,R4,Y,N,N,N,,,,
15-Jun-2017,12,7,R8,Y,N,N,N,,,,
15-Jun-2017,38,7,R3,N,N,N,N,,,,
15-Jun-2017,12,7,R4,N,N,N,N,,,,
15-Jun-2017,12,7,R2,N,N,N,N,,,,
15-Jun-2017,35,3,R3,N,N,N,N,,,,
15-Jun-2017,12,7,R6,Y,N,N,N,,,,
15-Jun-2017,18,5,R4,N,N,N,N,,,,
15-Jun-2017,18,7,R2,Y,N,N,N,,,,
15-Jun-2017,18,7,R1,Y,N,N,N,,,,
15-Jun-2017,20,2,R4,N,N,N,N,,,,
15-Jun-2017,18,7,R7,N,N,N,N,,,,
15-Jun-2017,22,9,R1,N,N,N,N,,,,
15-Jun-2017,19,9,R1,Y,N,N,N,,,,
15-Jun-2017,22,9,R4,Y,N,N,N,,,,
15-Jun-2017,22,9,R5,Y,N,N,N,,,,
15-Jun-2017,12,7,R3,Y,N,N,N,,,,
15-Jun-2017,14,1,R4,N,N,N,N,,,,
15-Jun-2017,22,9,R7,N,N,N,N,,,,
15-Jun-2017,38,7,R6,N,N,N,N,,,,
15-Jun-2017,18,7,R4,N,N,N,N,,,,
15-Jun-2017,22,9,R2,N,N,N,N,,,,
15-Jun-2017,14,1,R5,N,N,N,N,,,,
15-Jun-2017,12,7,R1,N,N,N,N,,,,
15-Jun-2017,19,9,R9,N,N,N,N,,,,
15-Jun-2017,12,7,R5,N,N,N,N,,,,
15-Jun-2017,35,3,R4,N,N,N,N,,,,
15-Jun-2017,20,2,R2,N,N,N,N,,,,
